"date","y_lead","reforms","boost","consolidate","construction","outperform","savings","progress","booming","accrue","surpass","debt","crisis","decline","recession","unemployment","bankrupt","deficit","collapse","market crash","downturn","banana","door","weather","chopstick","phone","chicago","christmas","swim","bycicle","programming"
2020-02-03,0.0121413501224472,-0.384086422205731,-0.741421730774941,1.78711751292104,0.144315081721353,-2.06149886720274,-1.17150592829135,0.242200393231667,0.884152195833096,0.710251034832106,0.596216870963167,1.70516344693953,0.708311555452973,-0.676468275989068,-1.20656176636573,-0.43254125529092,-0.355395200851931,-1.04320881725275,-0.0855086815886704,-0.409731124001068,0.91265644903674,0.0352762501606504,-0.192041502025487,1.38462267511101,1.39249433685321,-0.0558160163052584,-0.433457882745962,-0.20686828435089,1.11377038719763,-0.723127408722095,-0.381504363839959
2020-02-04,-0.00112562901980073,-0.347360150867113,-0.731052731766494,-1.78045386443609,0.164849104841043,2.05309561054842,-1.13471425484081,0.255905139664271,-0.913772017777571,0.736230133414969,-0.607609524343511,1.72160251879138,0.741596200093274,-0.66130122458737,-1.19488052416969,-0.424777792355842,-0.351646042920184,1.04694143845098,-0.0960319070760552,0.417923975657911,-0.954917699007289,0.0654036720674863,-0.163707402586485,1.39621144048171,1.39038347808179,-0.0250874847869846,-0.428821276891431,0.207086923422239,1.12706977642901,-0.690170723417239,-0.368970618806652
2020-02-07,0.00673481586186586,-0.347289050966172,-0.731147350091885,-1.78137332983797,0.164285613604924,2.04908363816963,-1.13577480354065,0.254876571743027,-0.916620394132183,0.736446428782913,-0.608494475197195,1.72059295714914,0.741570943641639,-0.661819837623476,-1.1950705394437,0.424038138154394,-0.350892423361718,1.04561883966514,-0.0954522841312584,0.417043108760357,0.959730296211717,0.0662194792481082,-0.16236745912741,1.39527534874899,1.39214634544064,-0.0250285749993859,0.427044266860737,0.207053909909697,1.12866171514918,-0.685501923059135,-0.370918359207562
2020-02-08,0.00243774364223182,0.34745380374334,0.728740577495134,-1.77580008476179,-0.162574859544997,2.0470121986064,-1.13495721500512,-0.254078553175105,0.91750589457106,-0.729239930831082,0.599087422781528,-1.72110795903241,-0.739395430510401,0.666815908957383,-1.1917831329592,0.426519562956982,-0.344440950338823,-1.04281601818512,-0.09439674497967,-0.418099420276941,-0.977563633788195,-0.0622390918420455,0.166049746046065,1.40300680370835,-1.39210073102225,0.0210943092070608,0.433921004545173,0.207084519625088,-1.13294593216183,0.682716987254817,0.37636154698119
2020-02-09,0.00959155478937834,0.354227260386167,0.731892113779345,1.77641493665209,-0.159610716874308,2.0466317428121,-1.13592185869922,-0.249780676582502,0.919241179519047,0.728263174037475,0.610080369541168,-1.71712792560154,-0.737587934096017,0.668088777907504,1.19441334227507,0.429103138226464,-0.345416056363419,1.04034957014984,-0.0937822793202561,-0.413573375773901,-0.974784122897324,-0.0604013335378732,0.171363905497398,1.39910642485839,-1.3889851537543,0.0251059719790484,0.434470977186298,0.207097767346636,-1.12830105256875,-0.686918112320334,0.378489851512057
2020-02-10,0.00100445263482563,-0.342058848562676,-0.736110791715227,-1.80206689394285,0.156243276129246,-2.05196103664488,-1.13701949941758,0.254141752369233,-0.926713841335503,0.735411637664163,-0.57724219430163,1.72234972405104,0.742956663922478,-0.669081220877382,-1.19643442051724,-0.41583921445865,0.35091770199537,1.05061313234692,0.0905499426344015,0.421603036862971,-0.961867884169482,0.0538541711634725,-0.177372128586296,1.40730387893056,1.39361990794935,-0.0360528819554371,-0.430459240822243,0.20722120554166,-1.12622472098827,-0.669599799237235,-0.38813294616803
2020-02-11,-0.000903926541440114,-0.34123038523484,-0.734782476977885,1.7994644790095,0.157530972581566,-2.05136912725309,-1.13679224388566,0.255146635211411,0.925870691836547,0.736201576844312,0.575657388922728,1.72322016829707,0.743470940065591,-0.667844041018342,-1.19529268399313,-0.415341791352491,0.351137160269868,-1.05104566356219,0.0913773647043347,0.422604375315073,-0.962848823413234,0.0551963219424507,-0.175116009011577,1.40685897093519,1.39417881679239,-0.0341834053745399,0.4300694776637,0.207252891771549,-1.12522832407505,0.669175531017791,-0.386933017107035
2020-02-15,0.00611012388978605,0.342459698333767,-0.734343853540322,-1.79881732316107,-0.1571329032011,2.05276703863938,-1.13719345870213,-0.255357401750626,-0.925821988705489,-0.737042476620268,-0.57305585436044,-1.72309159809944,-0.742893516080268,0.66766110917588,1.19595199474183,0.414535586120396,-0.351132719214098,-1.05185275633704,-0.0905230302052223,-0.423200327042414,0.962687589358134,-0.0551120747107717,0.175658728643883,-1.40764985519219,-1.39168514977868,0.0343035955184793,0.429950711465952,-0.207264637587369,-1.12534758525745,-0.667101247884128,0.387494716001338
2020-02-16,0.00458312013286655,0.366817980427813,0.734613859352893,1.79451308229968,-0.146313053077856,2.07397959370666,-1.13939492257659,-0.242581547439347,0.923366403861024,-0.728949119000554,0.56862703074411,-1.7113625622078,-0.725937540896797,0.677159788087049,1.20473614488994,0.426200459817175,0.340979153996098,-1.03873706609831,0.0803645678204622,-0.410673431126832,0.966208944542166,-0.0446785133774087,0.1851549114613,-1.40519237426932,-1.37879390366225,0.0433924187721608,0.443340394313757,0.207060863908774,-1.11797294735205,-0.660979315272569,0.398173799883172
2020-02-17,-0.00428352937774878,0.359484517803576,0.737828809673976,-1.80396422933892,0.145942675948907,2.06774496495318,-1.13977609461689,-0.243676706105103,-0.93668848913387,0.728627854141446,0.57618567902575,1.71132281374015,0.730248650359515,0.676886151543762,-1.20644700668949,-0.418093215585272,0.346713182019233,-1.04284162444011,-0.0833673793093203,-0.417440564335765,0.96985387551689,-0.0437691559194302,0.184623282809577,-1.40518548697634,1.37788588507421,-0.047511057185332,0.444004858264519,0.207397792350204,-1.11684405485556,0.661488348804202,0.397530019767942
2020-02-18,-0.0140748925538237,-0.362978810381416,-0.738475582786153,-1.81380558757156,0.139139272238014,-2.07349326779327,-1.14250083253926,0.237549364700222,0.952643915564133,0.721770182335489,-0.579990609424599,1.70636675312061,0.726723623672546,-0.678859254156588,-1.21375708139954,-0.420283679010772,0.343345177922886,1.03870716657089,0.0850764677332794,0.420563940835378,-0.967086960933387,0.0391474154422965,-0.185146227610862,-1.40601842883646,1.37254735881354,-0.0560107427627074,-0.44914108922677,NA,-1.12069291997401,-0.656364035271742,-0.401987963046842
2020-02-21,-0.0333536142095818,0.38073928800419,-0.753945870100251,-1.8059938747108,0.135492993549447,2.09641220318767,-1.14601329580074,0.229297979249321,-0.93240919995477,0.718446844607317,-0.616175634036094,1.69494107759141,0.715748174845102,-0.692888853973873,-1.22305108947423,0.419772344102794,0.335542610097772,-1.02835748920605,0.0758484025504916,0.403316699513343,-1.03051006987367,0.0231075226259994,-0.20652965624432,-1.40120300421713,-1.37545144919456,-0.0688317095443298,0.470073510603175,-0.207374704186924,-1.10284372596587,0.674301274759302,-0.411879569085696
2020-02-22,-0.02576614425766,0.354470200674667,0.728130301396925,1.80368781805809,-0.144603660363494,1.99799937955632,-1.13574111560732,-0.224003408941211,-0.960337645599648,-0.715145150802322,-0.584560389295102,-1.71323083151711,-0.723930512008723,0.677852131707848,1.19488958194378,0.380178236885359,-0.360241527033487,-1.05168580347428,0.0809815656584951,0.39637462405381,-0.977560446166248,-0.0396251301142304,0.213934885590762,1.39658829792812,-1.39350763684069,0.0589344463446802,0.432147112057008,0.207374704186924,-1.10320806669255,0.653492165474784,0.416541313783185
2020-02-23,-0.00570905528584298,0.335331009074633,0.703189422682976,1.78358166412367,-0.179546812609675,1.9916735305779,-1.12607538289725,-0.262252505257141,0.975007059874583,-0.748847100304501,0.567377173526343,-1.73514987657742,-0.767033286327311,0.642474973342412,1.16677005970288,-0.355015672917895,-0.376090379708812,-1.07752399185165,0.0838219297018944,-0.409354141124663,0.976579562519835,-0.0687235870112348,0.158807643011672,-1.38472762374931,-1.39736141855792,0.0248125998960941,0.441398881311042,-0.206110893566863,-1.13145984762048,-0.648363828503434,0.361047369770187
2020-02-24,-0.0392162520547279,-0.330699492429448,-0.703941438969632,-1.77990998500894,0.180528113649049,1.99611789835568,-1.12814237568379,0.262135401400556,0.955237933687896,0.747355721561405,-0.552623032372137,1.73654177208889,0.764082064894709,-0.644823349022472,-1.17053850251784,-0.365661901123053,-0.377172237754875,1.07241081434735,0.0840366735011421,0.414995928710943,-0.966973866769243,0.0740244760832005,-0.160364634155594,-1.38658107766784,1.39940171637532,-0.0173682614691341,0.440332131006631,NA,-1.13408765054593,-0.652126085616819,-0.364863525119948
2020-02-25,0.00202012164240895,-0.430615479795328,0.753168726284419,-1.87021105757384,0.114374365371397,-1.99367242054183,-1.15348329493038,0.2047202478829,1.04203786172778,0.71297529133928,0.654801823732045,1.68278531582675,0.684230287659701,-0.712152161110577,-1.24601035481845,0.391003265690028,-0.374870031719424,1.03196582701211,0.0503297509589048,0.281052728851088,1.04085955353368,-0.00482688535264678,-0.229480699130444,-1.37159415062582,1.3551821556869,-0.129012716988837,0.429628162720695,-0.206262044954942,-1.06873360896997,-0.652506116219484,-0.43560332234244
2020-02-28,0.0300409246351236,-0.430962386487215,0.754995390260042,1.87109139292749,0.114473314406785,1.99141749626278,-1.15487701609675,0.205813056616901,1.04301870546663,0.713657878700672,0.658384970605321,-1.68375385687999,0.683448727323299,-0.711915328890661,-1.24657653969303,0.392468551759486,-0.374823568472492,-1.03290868451945,0.0496083093116568,0.278600314108766,-1.0438390850757,-0.00500860781403721,-0.227823633519778,-1.37138724550745,-1.35450432707199,-0.129309103449184,-0.429435530239038,NA,1.0695337680236,-0.650077177281827,-0.436003924358623
2020-02-29,-0.0314995811170187,0.430997103066167,0.850350000093087,1.9148435895664,-0.102721786414011,2.07219321672451,-1.13915082724452,-0.183890531846949,-1.05684116149062,-0.712746934366233,0.632629223637272,-1.65433158363798,-0.680718635364002,0.717789870222616,1.23808548444288,0.414060096767832,-0.372639276216022,-0.992979844345132,0.0793241444827831,-0.322198301739801,0.944053940978119,0.0167181386147657,0.244640436505005,-1.33487519612827,1.347933428099,0.12703457168412,-0.404955387441021,0.206262044954942,-1.08308463886372,0.684712901351134,0.446459556186053
2020-03-01,0.032478325356637,0.343542584068659,0.804043492553942,1.93537297170507,-0.141666841677403,2.06798106822303,-1.1310735360982,-0.236379319970902,-1.10742449264866,-0.778963387697471,0.648462180119117,-1.67148438251157,-0.723222029809196,-0.665196700584277,1.13942495223784,-0.372217690161052,-0.380846299781488,-1.04628661788248,-0.10996525429446,-0.443461269174459,-0.880924961048918,-0.0261947767341408,0.163159670870522,-1.32364385324637,1.33825292584325,0.0820043249020621,0.383670278309135,-0.206262044954942,-1.1367975169193,-0.59595160862827,0.381091695318877
2020-03-02,-0.0372054548463563,-0.305421879874311,0.78187555780898,-1.93375118503783,0.137702771324286,-2.05580671141495,1.0989892559564,0.246668981984878,1.11450109855144,0.799130241931239,-0.641778718815211,1.65146620949531,0.716017960745083,-0.636854841333297,1.13905053464255,-0.298936331598715,0.384099539612152,-1.05795948843919,-0.0694916305749076,-0.419038689802411,0.837438851865446,-0.0134402790645331,-0.156609239776331,1.34489559592733,1.34736910872127,-0.106583388820638,-0.40210684224221,NA,1.12854608532992,0.520821506912053,-0.349710982692187
2020-03-03,-0.0153472263112731,-0.372662413519681,0.819655981591355,-1.95141925270695,0.0767013360452959,-2.19165375460122,1.04920921417383,0.183016904758432,1.09919735870629,0.741971098750806,0.662576024969851,1.599930577338,0.640108301260748,-0.653806301760162,1.15947387450123,-0.309702241717331,-0.359511974543069,1.01465945514462,-0.04242504142517,-0.407122037262915,0.67735010595612,-0.104285892895439,-0.228880790753261,-1.33975996835318,1.31333189669935,-0.204966277490141,-0.442245117526709,NA,1.07622695184631,-0.51239245291971,-0.381424898539825
2020-03-06,-0.0720743648966078,-0.369624952345973,0.822179090004825,-1.9524512790094,0.0756829098590363,2.16040452830062,1.03983915750114,0.184719782190178,-1.09339005230593,-0.746521193437135,-0.641697488332264,1.59457785736408,0.631173423011963,-0.653586911805001,1.1571111612922,0.300070913070499,0.363444373291248,-1.01212879543233,0.0412969809529539,-0.418722577715763,0.690111267376793,-0.110536026413842,-0.240827869316259,-1.34484753068875,1.31290712308237,-0.199430617452026,0.443993706811886,-0.205163813664827,1.07276595864299,0.517614579573349,-0.381931226343209
2020-03-07,0.0463696220293208,0.345575753316782,0.825353494005072,1.95472818799539,-0.106008512734327,-1.88239769485268,-1.09070878799325,-0.20649919386423,1.27071313406839,-0.832049827340423,0.696699049734324,-1.59371748428204,-0.662265752717822,0.65638826980725,1.16317145527256,0.245708927368153,-0.300669405320988,-1.02602036090287,0.00366633377428256,-0.429311148060801,0.732897672780104,0.075382466550009,0.236454984161705,1.34351943076737,1.36155637940786,0.175415545939428,0.298840589510327,0.205163813664827,-1.06223970789944,-0.385263648357084,0.40226013990423
2020-03-08,-0.0467893777610682,0.470836062262928,0.862015594897712,2.00596829890349,-0.0459910164256223,1.67828225868961,-0.9660997201749,-0.132731538736846,1.35682038411092,-0.785771972007475,0.713331865481755,-1.52246607868442,-0.55590259366696,0.701211148925412,1.18569927608622,-0.291200478514447,-0.214532589962298,-0.997660588205638,0.135058475131791,-0.373940674316211,0.785751828790837,0.133905823233174,0.318269436576337,1.35235795044325,-1.37195416471023,0.23597789077684,0.332771645387194,0.205324730258519,-1.01703610523054,0.298301829454927,0.525309557561853
2020-03-09,-0.0968916559518131,-0.517607929785852,0.892744116374146,-1.98570810408706,0.0479340701995319,-1.57015166350959,0.986700154982613,0.0945598126452977,-1.29547011631095,0.722453384574987,0.709362937296613,1.53241298680759,0.529996783584907,-0.709003014152164,-1.16047992402453,-0.380835604846816,0.185194020415171,-1.02591354160061,0.136048114002989,0.363977354212523,-0.836682102041689,0.0541469413445331,-0.288278162589408,1.33647497569299,-1.410431403917,-0.17203587838689,0.372844110818567,NA,1.03433339434875,0.243325829683084,-0.52244785963554
2020-03-10,0.0838438955931542,-0.655966198675723,0.971652918976288,-2.08453429733982,-0.118205683155771,-1.71423314817019,0.183612840749264,-0.0252190673770283,-1.51787063673897,-0.587173357330811,-0.717975542752686,1.38736686203063,0.349052347874415,0.84813065969043,1.62325820950736,-0.425916865137991,0.0277256785146494,0.892552851622684,-0.306532053991467,0.17141743788932,-0.969088377800438,0.267245677607716,-0.460826758078308,1.29633387352933,1.40467199284899,-0.447143808214363,0.370564837335087,NA,0.934962767634322,-0.28778692110358,-0.708425593505046
2020-03-13,-0.121259872252528,0.646279996589534,0.986491716042674,2.02264161628047,0.131699904622168,1.53901835209216,0.395776212762852,-0.0101937995119666,1.49759341259486,0.42013182860492,-0.646420829856824,-1.39481015736331,0.347823670223903,0.954469074989095,-1.86868682579356,-0.468517721457378,0.00706867372139219,-0.897346554757474,-0.236083619467201,-0.375314245871556,0.883118277469913,-0.258392628231774,-0.410126024988344,1.27334803340249,1.4549203900393,-0.453228961876804,0.399675291552315,NA,1.02447093053567,0.15041184221772,0.596557385374017
2020-03-14,0.0390468468773504,0.546173328766974,0.960364199964686,1.74867940927015,0.0423668483775946,-1.09069502453891,0.224927437769654,-0.0196776227217747,1.34839718318549,-0.233617446530506,-0.606682221401255,-1.46017538718331,0.04618772188955,0.928357693026717,1.92102593323388,-0.547895823100722,0.0847812773811091,-1.13815366150161,-0.293987929515366,0.477867506596054,0.693860358870967,0.324979046786309,-0.577280336652398,1.255976977636,1.31977496321672,0.440956852643754,-0.354663198387093,-0.203863074787635,0.839997496597258,0.0815688777873832,0.281750713537126
2020-03-15,-0.0383410925549832,0.600855030436396,1.01471803591071,1.75432752036822,0.0972099442415081,1.02328965432286,0.259900892383446,0.0334974318287417,1.42300674618917,-0.131908439586842,0.61635215634241,-1.42017059499686,-0.0150952089936878,0.948656365809331,1.97758220235225,-0.55222830451126,-0.0916300380317214,-1.17036814844816,-0.261786468451535,0.560391131009226,0.712629579530565,0.435087217960391,0.668301270995231,-1.25145201482301,-1.32363512136059,0.488547005302791,0.296803499344632,0.203863074787635,0.788349519203936,-0.165608088708568,0.307183520990763
2020-03-16,0.0227393275693624,0.610673680613538,-1.03287103532404,-1.74243833028444,-0.097361151840412,1.02228224361148,0.230678088929332,0.0338728695734706,-1.46740338737937,0.130783659477622,-0.471481990684826,-1.43444185459208,-0.0235660919559861,0.938982040631085,-2.00397778167625,-0.605177477881732,0.110992677947232,-1.17394721002073,-0.237957920350859,-0.540711422577718,0.683886514662852,0.420281182140447,-0.664118560565852,-1.28502729265163,1.37198374414037,-0.44151526835525,-0.245577880100303,NA,0.768413924597303,0.30053913282257,0.307593184619103
2020-03-17,-0.0465858169441207,0.592224020227566,-1.0174637842122,-1.69641688396583,-0.0574182709010755,-1.02194065914405,0.202578600179804,-0.0226161285550134,1.42863016417439,-0.178722847552765,0.363525677935291,1.46136182597157,0.0232597854577357,0.920683426296619,-1.92895064659753,-0.566711782927042,0.141628365005196,-1.17231074438207,-0.23755032555481,0.489628848676333,-0.65806239233324,0.373100902196272,-0.606938123708864,-1.26526889137876,1.41907236406962,-0.36529851557109,-0.204387104481739,NA,0.825888021242835,0.355399178560592,0.282118516725836
2020-03-20,-0.00159077843210831,0.597599786149561,-1.03033909841529,1.69037180415006,-0.0638006158797694,-1.05844892542562,0.175558811526912,0.0467939604611818,1.35715133241174,0.218019041077074,-0.27089824010945,1.42206617165049,0.0362993376968965,0.919414596854547,1.84862630444643,-0.493863172546408,-0.122252673841298,-1.14182125621767,-0.227257640965744,0.463707426155794,-0.7360263825252,0.377145979345254,-0.607031406693505,-1.27006797130885,1.45027609003594,-0.360020586963724,0.185121909326248,0.202745796013624,0.795618587243919,0.346364595247652,0.290549486708674
2020-03-21,0.0660843037042858,0.596157644294376,1.02927654726718,1.68756265950348,0.0638356604823583,1.0584542280715,0.175661096803122,0.0456169294784653,1.35710111741903,-0.215826800225891,-0.275876910539175,-1.42252033891346,0.0358457895285322,0.919076908148242,1.84261088199381,0.492818652204041,-0.124939110591171,-1.14316314078132,-0.227528781437227,0.461405105393136,0.736904549528083,0.374814713859249,0.606443705668688,-1.26840204178375,-1.4511316563674,0.359948829844705,-0.18096171025927,0.202745796013624,0.794421712801898,-0.347650291352822,0.288410373047337
2020-03-22,-0.00870880699061338,0.658011724197828,1.08860459917442,1.628119825017,0.136489052692827,1.14177330929715,0.178969089850627,0.0729354812119167,-1.35767209297588,-0.135711740420602,-0.347093474360674,1.36234147588062,-0.00514144183977669,0.933633978421312,1.87994799695301,0.576277408243347,-0.0979177674036439,-1.08920900296927,-0.233501374750706,0.479972730126878,0.909311005614188,0.550978962861011,0.736011022869572,-1.21335972115831,-1.34818194188307,0.475229708459956,0.0710519189274583,0.202653975674337,0.702242217500259,-0.306444285386302,0.312824832340427
2020-03-23,0.055813689391095,-0.663751380019384,-1.09667389841169,1.62030625446761,-0.137112198268982,-1.13395734119307,0.173524117636878,0.0722327637519771,1.36849219786778,0.140672939342025,0.344774996071126,1.3582248672655,-0.00378593413328915,-0.935754926411649,1.87790568538487,-0.579623194766583,-0.101957804176943,1.08192270097893,-0.236018455817827,0.476449073729379,-0.901492082638444,-0.554425953849775,-0.73535570327438,-1.20735750632012,1.34964410219731,-0.466148643440307,0.0687055257683568,NA,0.698466877869159,0.305767576426101,0.312668308162259
2020-03-24,-0.03860574066998,-0.553807587622781,-1.06639419570453,1.57258741839382,-0.053300953093555,-1.03177902031661,0.13396770173419,-0.0553620656851662,-1.38808535317974,0.260739161225025,-0.372633379684512,1.39747186300589,0.0534795496993844,-0.902994659717285,1.86120040627463,0.507293512788484,-0.113923283525517,1.16874548211755,-0.274176354573173,0.416653605699539,-0.739997944565205,-0.381564387050035,-0.629273314286173,-1.16990261763656,1.47850267443903,-0.275967145340176,0.141569489073783,-0.202603081550845,0.724394065361474,-0.359103959499381,-0.263942213815324
